index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,resolution_width,resolution_height,wifi,fast_charging,ram,rom,hdmi_port,Company,Spec_Score,usb_port
129,sony,TRUE,FALSE,34999,4.05,43,led,3840,2160,TRUE,20,,,TRUE,croma,49,1
130,samsung,FALSE,FALSE,13990,4.4,32,led,,768,TRUE,20,,,TRUE,croma,31,1
131,kodak,FALSE,TRUE,15999,4.25,40,qled,1920,1080,TRUE,40,1,,TRUE,flipkart,42,2
132,lg,TRUE,FALSE,44999,4.2,43,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,55,1
133,lg,TRUE,FALSE,112990,4.6,65,miniled,3840,2160,TRUE,20,,,TRUE,croma,78,2
134,lg,TRUE,FALSE,112890,4.75,48,oled,3840,2160,TRUE,20,,,TRUE,croma,79,2
135,lg,TRUE,FALSE,436990,4.35,77,oled,3840,2160,TRUE,40,,,TRUE,croma,87,3
136,tcl,TRUE,FALSE,34990,4.35,,,,,FALSE,,,,FALSE,croma,,
137,tcl,TRUE,FALSE,38990,4.15,50,qled,3840,2160,TRUE,20,,16,TRUE,croma,58,2
138,tcl,TRUE,FALSE,54990,4.25,65,led,3840,2160,TRUE,24,,,TRUE,amazon,54,
139,tcl,TRUE,FALSE,52990,4.2,55,qled,3840,2160,TRUE,20,,32,TRUE,croma,69,1
140,tcl,TRUE,FALSE,69990,4.55,65,qled,3840,2160,TRUE,20,,32,TRUE,croma,73,1
141,tcl,TRUE,FALSE,41990,4.4,55,qled,3840,2160,TRUE,24,2,16,TRUE,amazon,59,1
142,tcl,TRUE,FALSE,32990,4.3,43,qled,3840,2160,TRUE,24,2,16,TRUE,amazon,56,1
143,samsung,TRUE,FALSE,62990,4.55,65,led,3840,2160,TRUE,30,,,TRUE,amazon,63,1
144,samsung,TRUE,FALSE,62990,4,55,miniled,3840,2160,TRUE,20,,,TRUE,croma,61,1
145,tcl,TRUE,FALSE,51999,4.65,55,qled,3840,2160,TRUE,35,3,32,TRUE,flipkart,67,1
146,motorola,TRUE,FALSE,109999,4.1,85,miniled,3840,2160,TRUE,20,2,64,TRUE,flipkart,76,3
147,realme,FALSE,TRUE,18199,4.45,40,qled,1920,1080,TRUE,26,1,,TRUE,flipkart,44,2
148,samsung,TRUE,FALSE,31490,4.3,43,led,3840,2160,TRUE,30,,,TRUE,flipkart,54,1
149,toshiba,TRUE,FALSE,39990,4.6,55,led,3840,2160,TRUE,30,,,TRUE,amazon,53,3
150,samsung,TRUE,FALSE,44990,4.2,55,led,3840,2160,TRUE,30,,,TRUE,amazon,59,1
151,croma,TRUE,FALSE,38990,4.2,55,qled,3840,2160,TRUE,24,2,32,TRUE,croma,58,2
152,lg,TRUE,FALSE,140490,4.65,55,oled,3840,2160,TRUE,20,,,TRUE,croma,80,2
153,lg,TRUE,FALSE,68490,4.55,55,miniled,3840,2160,TRUE,20,,,TRUE,croma,67,1
154,vw,TRUE,FALSE,25999,4.5,50,qled,3840,2160,TRUE,60,2,32,TRUE,amazon,54,2
155,lg,FALSE,FALSE,18390,4,32,led,,768,TRUE,10,,,TRUE,croma,36,1
156,lg,TRUE,FALSE,44190,4.2,50,led,3840,2160,TRUE,20,,,TRUE,croma,55,1
157,samsung,TRUE,FALSE,126990,4.2,55,micro,3840,2160,TRUE,30,,,TRUE,flipkart,75,2
158,lg,TRUE,FALSE,45999,4.05,55,led,3840,2160,TRUE,20,,,TRUE,amazon,55,1
159,lg,FALSE,FALSE,17690,4.55,32,led,,768,TRUE,10,,,TRUE,croma,38,1
160,lg,FALSE,FALSE,18999,4.45,32,led,,768,TRUE,10,,,TRUE,amazon,36,1
161,lg,TRUE,FALSE,96999,4.35,65,miniled,3840,2160,TRUE,20,2,16,TRUE,amazon,74,1
162,motorola,FALSE,FALSE,11699,4.75,32,qled,,768,TRUE,40,1,,TRUE,flipkart,41,2
163,motorola,TRUE,FALSE,32999,4.7,55,qled,3840,2160,TRUE,50,2,32,TRUE,flipkart,62,2
164,xiaomi,TRUE,FALSE,71999,4.7,65,miniled,3840,2160,TRUE,34,2,32,TRUE,amazon,67,1
165,acerpure,TRUE,FALSE,22999,4.7,42.52,qled,3840,2160,TRUE,40,2,32,TRUE,flipkart,56,2
166,foxsky,FALSE,TRUE,11999,4.5,40,qled,1920,1080,TRUE,30,,,TRUE,flipkart,36,2
167,xiaomi,TRUE,FALSE,75975,4.35,75,qled,3840,2160,TRUE,34,2,32,TRUE,flipkart,68,2
168,lg,TRUE,FALSE,84990,4.3,55,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,67,2
169,foxsky,TRUE,FALSE,20499,4.1,43,miniled,3840,2160,FALSE,40,1,,TRUE,flipkart,45,2
170,philips,TRUE,FALSE,57999,4.7,65,miniled,3840,2160,TRUE,36,2,32,TRUE,amazon,68,2
171,vw,TRUE,FALSE,21999,4.65,43,qled,3840,2160,TRUE,48,2,16,TRUE,flipkart,50,2
172,hisense,TRUE,FALSE,27490,4.2,43,qled,3840,2160,TRUE,20,2,16,TRUE,flipkart,56,2
173,hisense,TRUE,FALSE,159999,4.75,75,miniled,3840,2160,TRUE,90,,,TRUE,amazon,84,2
174,vw,TRUE,FALSE,23799,4,55,qled,3840,2160,TRUE,40,2,16,TRUE,flipkart,50,2
175,thomson,TRUE,FALSE,32999,4.55,55,qled,3840,2160,TRUE,70,2,32,TRUE,flipkart,60,2
176,hisense,TRUE,FALSE,28990,4.2,43,qled,3840,2160,TRUE,48,,,TRUE,amazon,50,2
177,acer,TRUE,FALSE,22999,4.3,43,led,3840,2160,TRUE,30,2,16,TRUE,flipkart,51,2
178,acerpure,TRUE,FALSE,53999,4.25,75,qled,3840,2160,TRUE,50,2,16,TRUE,flipkart,67,2
179,blaupunkt,TRUE,FALSE,18499,4.1,43,qled,3840,2160,TRUE,40,2,,TRUE,flipkart,43,2
180,acerpure,TRUE,FALSE,29999,4.6,55,qled,3840,2160,TRUE,50,2,16,TRUE,flipkart,60,2
181,panasonic,FALSE,FALSE,13999,4.1,32,led,,768,TRUE,20,5,,TRUE,flipkart,35,1
182,tcl,FALSE,TRUE,29990,4.7,50,qled,1920,1080,TRUE,20,,,TRUE,amazon,47,2
183,realme,TRUE,FALSE,31499,4.05,55,qled,3840,2160,TRUE,40,,,TRUE,flipkart,48,2
184,vu,TRUE,FALSE,28599,4.75,50,qled,3840,2160,TRUE,24,2,16,TRUE,flipkart,61,2
185,xiaomi,FALSE,FALSE,13999,4.5,32,led,,768,TRUE,20,1,,TRUE,amazon,33,2
186,tcl,TRUE,FALSE,79999,4.2,55,miniled,3840,2160,TRUE,20,3,64,TRUE,flipkart,71,1
187,philips,TRUE,FALSE,34999,4.25,50,qled,3840,2160,TRUE,30,2,32,TRUE,amazon,60,2
188,tcl,TRUE,FALSE,229999,4.55,85,miniled,3840,2160,TRUE,60,3,64,TRUE,flipkart,78,2
189,xiaomi,FALSE,FALSE,12999,4.15,32,qled,,768,TRUE,20,1,,TRUE,flipkart,40,2
190,tcl,TRUE,FALSE,68656,4.65,65,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,66,
191,coocaa,FALSE,FALSE,8999,4.6,32,qled,,768,TRUE,30,,,TRUE,flipkart,38,2
192,lg,TRUE,FALSE,38990,4.55,50,led,3840,2160,TRUE,20,2,,TRUE,flipkart,51,1
193,tcl,TRUE,FALSE,44999,4.05,55,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,59,1
194,hisense,TRUE,FALSE,49999,4.3,65,qled,3840,2160,TRUE,30,,,TRUE,flipkart,67,2
195,hisense,TRUE,FALSE,99999,4.3,75,miniled,3840,2160,TRUE,20,,,TRUE,amazon,78,2
196,sony,TRUE,FALSE,121990,4.65,75,led,3840,2160,TRUE,20,,16,TRUE,amazon,67,2
197,hisense,TRUE,FALSE,26999,4.35,43,qled,3840,2160,TRUE,30,,,TRUE,amazon,59,2
198,tcl,TRUE,FALSE,27990,4.4,43,led,3840,2160,TRUE,10,2,16,TRUE,amazon,48,1
199,tcl,TRUE,FALSE,63999,4.75,65,miniled,3840,2160,TRUE,40,2,16,TRUE,flipkart,69,1
200,sony,TRUE,FALSE,65990,4.6,55,led,3840,2160,TRUE,20,,16,TRUE,amazon,56,2
201,motorola,TRUE,FALSE,32999,4.35,55,qled,3840,2160,TRUE,48,2,32,TRUE,flipkart,57,2
202,haier,TRUE,FALSE,66990,4.25,55,miniled,3840,2160,TRUE,50,2,32,TRUE,croma,69,2
203,motorola,TRUE,FALSE,45999,4.05,65,qled,3840,2160,TRUE,48,2,32,TRUE,flipkart,60,2
204,samsung,TRUE,FALSE,28990,4.05,43,led,3840,2160,TRUE,20,,,TRUE,flipkart,52,1
205,xiaomi,TRUE,FALSE,23999,4.4,43,led,3840,2160,TRUE,24,2,32,TRUE,amazon,48,2
206,samsung,TRUE,FALSE,198890,4.4,65,oled,3840,2160,TRUE,70,,,TRUE,croma,83,4
207,samsung,FALSE,FALSE,15989,4.5,32,led,,768,TRUE,20,,,TRUE,flipkart,37,1
208,samsung,TRUE,FALSE,102999,4.2,65,miniled,3840,2160,TRUE,20,,,TRUE,flipkart,71,2
209,xiaomi,TRUE,FALSE,36999,4.7,55,led,3840,2160,TRUE,34,2,,TRUE,amazon,55,2
210,samsung,TRUE,FALSE,104999,4.55,55,oled,3840,2160,TRUE,40,,,TRUE,flipkart,78,2
211,samsung,TRUE,FALSE,172491,4.6,65,miniled,3840,2160,TRUE,60,,,TRUE,flipkart,77,2
212,hisense,TRUE,FALSE,40999,4.55,55,qled,3840,2160,TRUE,20,,,TRUE,amazon,67,2
213,tcl,TRUE,FALSE,25900,4.5,43,led,3840,2160,TRUE,20,,,TRUE,flipkart,46,1
214,iffalcon,TRUE,FALSE,39999,4.2,65,led,3840,2160,TRUE,20,2,16,TRUE,flipkart,51,1
215,tcl,FALSE,TRUE,20990,4.05,40,qled,1920,1080,TRUE,24,1,,TRUE,amazon,42,1
216,tcl,TRUE,FALSE,40999,4.7,55,qled,3840,2160,TRUE,20,2,16,TRUE,flipkart,61,1
217,iffalcon,FALSE,TRUE,18999,4.7,40,led,1920,1080,TRUE,24,1,,TRUE,flipkart,38,1
218,samsung,TRUE,FALSE,52490,4.7,55,qled,3840,2160,TRUE,20,,,TRUE,amazon,56,1
219,samsung,TRUE,FALSE,30590,4.2,43,led,3840,2160,TRUE,20,,,TRUE,croma,50,1
220,samsung,TRUE,FALSE,39852,4.6,43,qled,3840,2160,TRUE,20,,,TRUE,flipkart,54,1
221,lumio,TRUE,FALSE,28999,4.7,43,qled,3840,2160,TRUE,24,3,16,TRUE,flipkart,57,3
222,xiaomi,TRUE,FALSE,55999,4.25,65,qled,3840,2160,TRUE,34,2,32,TRUE,amazon,67,2
223,tcl,FALSE,FALSE,14990,4,32,qled,,768,TRUE,16,,,TRUE,amazon,39,2
224,thomson,FALSE,FALSE,6799,4.3,24,led,,768,TRUE,24,,,TRUE,flipkart,31,2
225,lg,FALSE,FALSE,15990,4.1,32,led,,768,TRUE,20,1,,TRUE,croma,35,1
226,thomson,TRUE,FALSE,18999,4.1,43,qled,3840,2160,TRUE,40,2,,TRUE,flipkart,46,2
227,foxsky,TRUE,FALSE,27999,4.45,55,qled,3840,2160,TRUE,30,2,16,TRUE,amazon,62,2
228,vu,TRUE,FALSE,49990,4.15,55,qled,3840,2160,TRUE,24,3,16,TRUE,amazon,69,2
229,foxsky,FALSE,FALSE,8999,4.1,32,qled,,768,TRUE,30,,,TRUE,flipkart,39,2
230,infinix,TRUE,FALSE,19999,4.25,43,qled,3840,2160,TRUE,40,2,16,TRUE,flipkart,49,2
231,acer,TRUE,FALSE,26999,4.75,43,qled,3840,2160,TRUE,60,2,16,TRUE,amazon,57,2
232,realme,TRUE,FALSE,35999,4.15,65,led,3840,2160,TRUE,44,2,16,TRUE,flipkart,50,2
233,realme,TRUE,FALSE,28999,4.25,50,qled,3840,2160,TRUE,30,2,16,TRUE,flipkart,54,2
234,realme,TRUE,FALSE,18299,4.15,43,led,3840,2160,TRUE,30,2,16,TRUE,flipkart,45,2
235,sony,TRUE,FALSE,77990,4.6,55,led,3840,2160,TRUE,20,,16,TRUE,amazon,63,2
236,haier,TRUE,FALSE,50400,4.55,65,qled,3840,2160,TRUE,24,2,32,TRUE,flipkart,66,2
237,sony,TRUE,FALSE,149990,4.6,55,miniled,3840,2160,TRUE,40,,32,TRUE,flipkart,80,2
238,haier,TRUE,FALSE,33990,4.35,43,qled,3840,2160,TRUE,24,2,32,TRUE,flipkart,61,2
239,motorola,TRUE,FALSE,28999,4.55,50,miniled,3840,2160,TRUE,20,,16,TRUE,flipkart,55,2
240,samsung,TRUE,FALSE,25999,4.3,43,led,3840,2160,TRUE,20,,,TRUE,flipkart,49,1
241,lg,TRUE,FALSE,94990,4.1,55,oled,3840,2160,TRUE,40,,,TRUE,flipkart,72,3
242,hisense,TRUE,FALSE,21199,4.7,43,qled,3840,2160,TRUE,24,1,,TRUE,flipkart,55,2
243,panasonic,TRUE,FALSE,26299,4.55,43,led,3840,2160,TRUE,20,2,16,TRUE,croma,51,2
