,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,hdmi_port,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,brand_score,ppi,resolution_width,resolution_height,fast_charging,ram,usb_port,Spec_Score,size_category,charging_category
56,57,vw,0,0,10999,4.5,40.0,qled,0,16.0,1,0.01063733066642422,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
57,58,sony,1,0,210890,4.35,55.0,lcd,1,32.0,1,0.0015676418986201336,4.0,1.0,0.0,0.0,10.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0
58,59,vw,0,0,7999,4.45,32.0,qled,0,16.0,1,0.014464308038504814,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
59,60,tcl,1,0,72990,4.05,75.0,led,1,25.6,1,0.00344019728729963,4.0,0.0,0.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
60,61,tcl,1,0,249999,4.5,98.0,qled,1,32.0,1,0.001512006048024192,3.0,0.0,0.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0
61,62,hisense,1,0,99990,4.15,75.0,miniled,1,38.4,1,0.003195819581958196,4.0,0.0,0.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0
62,63,tcl,1,0,86990,4.45,75.0,qled,1,32.0,1,0.003990113806184619,3.0,1.0,0.0,0.0,8.0,1.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,1.0
63,64,tcl,1,0,149999,4.35,85.0,qled,1,32.0,1,0.0023490156601044003,3.0,0.0,0.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0
64,65,samsung,1,0,659990,4.35,85.0,micro,1,38.4,1,0.000599781814875983,4.0,0.0,0.0,1.0,10.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,0.0,0.0
65,66,vw,0,0,5499,4.65,24.0,led,1,16.0,1,0.02536824877250409,4.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
66,67,samsung,1,0,82999,4.2,55.0,oled,1,32.0,1,0.0036434173905709713,4.0,1.0,0.0,0.0,10.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0
67,68,acerpure,1,0,39999,4.2,65.0,qled,1,16.0,1,0.006825170629265732,4.0,0.0,0.0,1.0,5.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0
68,69,samsung,1,0,43990,4.75,55.0,qled,1,19.2,1,0.005938849738576949,3.0,0.0,0.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0
69,70,xiaomi,1,0,27999,4.1,50.0,led,1,19.2,1,0.0077609914639808555,4.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0
70,71,philips,1,0,26999,4.1,43.0,qled,1,32.0,1,0.008959591095966517,4.0,1.0,0.0,0.0,8.0,4.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0
71,72,vu,1,0,26490,4.4,43.0,qled,1,16.0,1,0.009966024915062289,4.0,1.0,0.0,0.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0
72,73,lg,1,0,105888,4.75,55.0,oled,1,44.8,1,0.003588697491689332,5.0,0.0,0.0,1.0,10.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0
73,74,hisense,1,0,34999,4.6,55.0,qled,1,28.8,1,0.008411668904825852,4.0,0.0,0.0,1.0,8.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
74,75,tcl,1,0,54990,4.35,55.0,miniled,1,19.2,1,0.005220949263502454,3.4,0.0,1.0,0.0,8.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0
75,76,tcl,1,0,31999,4.45,43.0,qled,1,16.0,1,0.008065877058658084,3.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0
76,77,tcl,1,0,69990,4.2,65.0,miniled,1,32.0,1,0.004320617231033005,3.0,1.0,0.0,0.0,8.0,2.0,1.0,2.0,1.0,2.0,0.0,4.0,1.0,2.0
77,78,realme,1,0,25999,4.5,55.0,qled,1,32.0,1,0.009692680487711066,4.0,0.0,0.0,1.0,7.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0
78,79,tcl,1,0,30990,4.15,43.0,qled,1,16.0,1,0.0073652791222975165,4.0,0.0,0.0,1.0,8.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0
79,80,xiaomi,1,0,41990,4.2,55.0,qled,1,32.0,1,0.006301500357227912,4.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0
80,81,tcl,0,1,15490,4.15,32.0,qled,1,19.2,1,0.010716591349257586,3.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
81,82,lg,0,0,14690,4.65,32.0,led,1,16.0,1,0.01171204901293397,4.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
82,83,foxsky,1,0,13999,4.15,43.0,qled,1,19.2,1,0.013933138081291522,4.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0
83,84,xiaomi,0,0,10999,4.7,32.0,led,1,16.0,1,0.01623783980361851,4.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0
84,85,tcl,1,0,47990,4.35,55.0,qled,1,16.0,1,0.0054386330485517815,4.0,0.0,1.0,0.0,8.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
85,86,tcl,1,0,64990,4.3,65.0,qled,1,16.0,1,0.004168333589783043,4.0,0.0,1.0,0.0,8.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0
86,87,samsung,1,0,162990,4.25,65.0,micro,1,35.2,1,0.0020077918890729495,4.0,0.0,0.0,1.0,10.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0
87,88,blaupunkt,0,1,17499,4.7,43.0,qled,1,19.2,1,0.01020629750271444,4.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0
88,89,sony,1,0,94990,4.6,55.0,led,1,19.2,1,0.003292978208232445,4.0,1.0,0.0,0.0,10.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0
89,90,motorola,1,0,30999,4.5,50.0,qled,1,32.0,1,0.00827446046646666,4.0,0.0,0.0,1.0,7.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0
90,91,motorola,1,0,66999,4.15,75.0,miniled,1,64.0,1,0.0043358856102329885,5.0,0.0,0.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0
91,92,samsung,1,0,79999,4.3,65.0,miniled,1,22.4,1,0.003601295016187702,3.0,0.0,0.0,1.0,10.0,2.0,1.0,2.0,2.0,1.0,0.0,4.0,1.0,2.0
92,93,samsung,1,0,70690,4.6,55.0,miniled,1,22.4,1,0.004294808318008205,3.0,0.0,1.0,0.0,10.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,2.0
93,94,lg,1,0,238990,4.0,65.0,oled,1,44.8,1,0.0013891794635758818,5.0,0.0,1.0,0.0,10.0,2.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0
94,95,samsung,1,0,31490,4.35,32.0,led,1,22.4,1,0.007321371864083836,3.0,1.0,0.0,0.0,10.0,4.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0
95,96,vw,0,1,13499,4.2,40.0,qled,1,19.2,1,0.012445366323431366,3.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
96,97,lg,1,0,49999,4.4,55.0,led,1,25.6,1,0.0050161003220064405,3.0,0.0,1.0,0.0,10.0,3.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0
97,98,lg,1,0,75590,4.4,55.0,miniled,1,32.0,1,0.004191030559597831,4.0,0.0,1.0,0.0,10.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0
98,99,lg,1,0,67599,4.7,55.0,miniled,1,16.0,1,0.004727880589949556,3.0,0.0,0.0,1.0,10.0,3.0,1.0,2.0,1.0,1.0,0.0,4.0,1.0,2.0
99,100,xiaomi,1,0,51999,4.4,55.0,miniled,1,32.0,1,0.005415488759399219,3.0,1.0,0.0,0.0,8.0,3.0,1.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0
100,101,vw,1,0,21999,4.4,43.0,qled,1,32.0,1,0.010200463657438975,4.0,1.0,0.0,0.0,,4.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,1.0
101,102,iffalcon,1,0,49999,4.45,55.0,qled,1,19.2,1,0.005607112142242845,4.0,0.0,0.0,1.0,7.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0
