,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,resolution_width,resolution_height,wifi,fast_charging,ram,rom,hdmi_port,Spec_Score,Company,usb_port
162,163,motorola,1,0,32999,4.7,55.0,qled,3840.0,2160.0,1,50.0,2.0,32.0,1,62.0,flipkart,2.0
163,164,xiaomi,1,0,71999,4.7,65.0,miniled,3840.0,2160.0,1,34.0,2.0,32.0,1,67.0,amazon,1.0
164,165,acerpure,1,0,22999,4.7,42.52,qled,3840.0,2160.0,1,40.0,2.0,32.0,1,56.0,flipkart,2.0
165,166,foxsky,0,1,11999,4.5,40.0,qled,1920.0,1080.0,1,30.0,2.6,19.2,1,36.0,flipkart,2.0
166,167,xiaomi,1,0,75975,4.35,75.0,qled,3840.0,2160.0,1,34.0,2.0,32.0,1,68.0,flipkart,2.0
167,168,lg,1,0,84990,4.3,55.0,miniled,3840.0,2160.0,1,20.0,2.4,28.8,1,67.0,flipkart,2.0
168,169,foxsky,1,0,20499,4.1,43.0,miniled,3840.0,2160.0,0,40.0,1.0,22.4,1,45.0,flipkart,2.0
169,170,philips,1,0,57999,4.7,65.0,miniled,3840.0,2160.0,1,36.0,2.0,32.0,1,68.0,amazon,2.0
170,171,vw,1,0,21999,4.65,43.0,qled,3840.0,2160.0,1,48.0,2.0,16.0,1,50.0,flipkart,2.0
171,172,hisense,1,0,27490,4.2,43.0,qled,3840.0,2160.0,1,20.0,2.0,16.0,1,56.0,flipkart,2.0
172,173,hisense,1,0,159999,4.75,75.0,miniled,3840.0,2160.0,1,90.0,2.4,35.2,1,84.0,amazon,2.0
173,174,vw,1,0,23799,4.0,55.0,qled,3840.0,2160.0,1,40.0,2.0,16.0,1,50.0,flipkart,2.0
174,175,thomson,1,0,32999,4.55,55.0,qled,3840.0,2160.0,1,70.0,2.0,32.0,1,60.0,flipkart,2.0
175,176,hisense,1,0,28990,4.2,43.0,qled,3840.0,2160.0,1,48.0,2.0,16.0,1,50.0,amazon,2.0
176,177,acer,1,0,22999,4.3,43.0,led,3840.0,2160.0,1,30.0,2.0,16.0,1,51.0,flipkart,2.0
177,178,acerpure,1,0,53999,4.25,75.0,qled,3840.0,2160.0,1,50.0,2.0,16.0,1,67.0,flipkart,2.0
178,179,blaupunkt,1,0,18499,4.1,43.0,qled,3840.0,2160.0,1,40.0,2.0,22.4,1,43.0,flipkart,2.0
179,180,acerpure,1,0,29999,4.6,55.0,qled,3840.0,2160.0,1,50.0,2.0,16.0,1,60.0,flipkart,2.0
180,181,panasonic,0,0,13999,4.1,32.0,led,1920.0,768.0,1,20.0,5.0,16.0,1,35.0,flipkart,1.0
181,182,tcl,0,1,29990,4.7,50.0,qled,1920.0,1080.0,1,20.0,2.6,19.2,1,47.0,amazon,2.0
182,183,realme,1,0,31499,4.05,55.0,qled,3840.0,2160.0,1,40.0,1.6,22.4,1,48.0,flipkart,2.0
183,184,vu,1,0,28599,4.75,50.0,qled,3840.0,2160.0,1,24.0,2.0,16.0,1,61.0,flipkart,2.0
184,185,xiaomi,0,0,13999,4.5,32.0,led,1920.0,768.0,1,20.0,1.0,16.0,1,33.0,amazon,2.0
185,186,tcl,1,0,79999,4.2,55.0,miniled,3840.0,2160.0,1,20.0,3.0,64.0,1,71.0,flipkart,1.0
186,187,philips,1,0,34999,4.25,50.0,qled,3840.0,2160.0,1,30.0,2.0,32.0,1,60.0,amazon,2.0
187,188,tcl,1,0,229999,4.55,85.0,miniled,3840.0,2160.0,1,60.0,3.0,64.0,1,78.0,flipkart,2.0
188,189,xiaomi,0,0,12999,4.15,32.0,qled,1920.0,768.0,1,20.0,1.0,16.0,1,40.0,flipkart,2.0
189,190,tcl,1,0,68656,4.65,65.0,miniled,3840.0,2160.0,1,20.0,2.8,19.2,1,66.0,flipkart,1.4
190,191,coocaa,0,0,8999,4.6,32.0,qled,1920.0,768.0,1,30.0,3.4,16.0,1,38.0,flipkart,2.0
191,192,lg,1,0,38990,4.55,50.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,51.0,flipkart,1.0
192,193,tcl,1,0,44999,4.05,55.0,miniled,3840.0,2160.0,1,20.0,2.2,25.6,1,59.0,flipkart,1.0
193,194,hisense,1,0,49999,4.3,65.0,qled,3840.0,2160.0,1,30.0,2.0,25.6,1,67.0,flipkart,2.0
194,195,hisense,1,0,99999,4.3,75.0,miniled,3840.0,2160.0,1,20.0,3.0,44.8,1,78.0,amazon,2.0
195,196,sony,1,0,121990,4.65,75.0,led,3840.0,2160.0,1,20.0,2.6,16.0,1,67.0,amazon,2.0
196,197,hisense,1,0,26999,4.35,43.0,qled,3840.0,2160.0,1,30.0,2.0,28.8,1,59.0,amazon,2.0
197,198,tcl,1,0,27990,4.4,43.0,led,3840.0,2160.0,1,10.0,2.0,16.0,1,48.0,amazon,1.0
198,199,tcl,1,0,63999,4.75,65.0,miniled,3840.0,2160.0,1,40.0,2.0,16.0,1,69.0,flipkart,1.0
199,200,sony,1,0,65990,4.6,55.0,led,3840.0,2160.0,1,20.0,2.0,16.0,1,56.0,amazon,2.0
200,201,motorola,1,0,32999,4.35,55.0,qled,3840.0,2160.0,1,48.0,2.0,32.0,1,57.0,flipkart,2.0
201,202,haier,1,0,66990,4.25,55.0,miniled,3840.0,2160.0,1,50.0,2.0,32.0,1,69.0,croma,2.0
202,203,motorola,1,0,45999,4.05,65.0,qled,3840.0,2160.0,1,48.0,2.0,32.0,1,60.0,flipkart,2.0
203,204,samsung,1,0,28990,4.05,43.0,led,3840.0,2160.0,1,20.0,2.0,19.2,1,52.0,flipkart,1.0
204,205,xiaomi,1,0,23999,4.4,43.0,led,3840.0,2160.0,1,24.0,2.0,32.0,1,48.0,amazon,2.0
205,206,samsung,1,0,198890,4.4,65.0,oled,3840.0,2160.0,1,70.0,3.0,41.6,1,83.0,croma,4.0
