,index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,hdmi_port,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,usb_port,Spec_Score,size_category,charging_category,brand_score
365,366,acerpure,1,0,10.491274217438248,4.25,55.0,qled,1,16.0,1,0.00649323592322,4.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0
366,367,hisense,1,0,10.931301769895525,4.1,65.0,qled,1,25.6,1,0.004180829367777,4.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,8.0
367,368,hisense,1,0,10.571086129249698,4.25,55.0,qled,1,19.2,1,0.0057771223390612,4.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0
368,369,metz,1,0,10.819778284410283,4.35,55.0,qled,1,32.0,1,0.0054811096221924,4.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0
369,370,hisense,1,0,10.462846164547514,4.2,50.0,qled,1,16.0,1,0.0061217490711631,4.0,1.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0
370,371,realme,1,0,11.02679245379461,4.75,75.0,qled,1,22.4,1,0.0043252735816842,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,7.0
371,372,vu,1,0,10.976782033219948,4.15,75.0,qled,1,16.0,1,0.0047530727020974,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,7.0
372,373,blaupunkt,1,0,9.95227771670556,4.6,43.0,qled,1,16.0,1,0.0107338444687842,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,6.0
373,374,kodal,1,0,10.341742483467284,4.65,55.0,qled,1,16.0,1,0.0079502564598858,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0
374,375,thomson,1,0,10.126631103850338,4.6,50.0,qled,1,16.0,1,0.0082803312132485,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0
375,376,bpl,1,0,10.106060982105628,4.3,43.0,qled,1,22.4,1,0.0071988566761943,4.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,3.0
376,377,croma,0,0,9.679781342959442,4.35,32.0,qled,1,16.0,1,0.0103377110694183,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0
377,378,lg,1,0,12.345797413264954,4.6,77.0,qned,1,22.4,1,0.001542252479739705,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,2.0,10.0
378,379,sony,1,0,11.10482187913902,4.2,50.0,led,1,16.0,1,0.0034742066476161,4.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,10.0
379,380,sansui,0,0,9.509778075438817,4.25,32.0,led,1,16.0,1,0.0113417346182357,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,5.0
380,381,coocaa,1,0,10.126631103850338,4.15,55.0,led,1,32.0,1,0.0078023120924837,4.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
381,382,sansui,1,0,10.608835006177392,4.65,55.0,qled,1,32.0,1,0.0072351197826623,4.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0
382,383,sansui,1,0,10.38871840689063,4.45,43.0,qled,1,32.0,1,0.0075330871037242,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,5.0
383,384,tcl,0,1,9.60177416667137,4.45,32.0,qled,1,16.0,1,0.0111325219743069,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,8.0
384,385,tcl,1,0,11.289781913656018,4.7,65.0,qled,1,44.8,1,0.0042888036100451,4.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,8.0
385,386,tcl,1,0,12.345797413264954,4.55,77.0,miniled,1,44.8,1,0.0015826155765894,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,2.0,8.0
