Model,Price,Rating,Specs,Company,Spec_Score
Samsung M71H 43 inch Ultra HD 4K Smart Mini LED TV (UA43M71HAULXL),"₹44,690",4.65,"43 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputHDR3 HDMI Ports, 1 USB PortsSupports Apps & Games",croma,57
LG AI NANO NU87 43 inch Ultra HD 4K Smart LED TV (43NU870BPLA),"₹32,999",4.45,"43 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR3 HDMI Ports, 1 USB PortsDolby Atmos",amazon,50
LG Nano AI NU885 43 inch Ultra HD 4K Smart LED TV (43NU885BPLA),"₹36,299",4.55,"43 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR3 HDMI Ports, 1 USB PortsDolby Atmos",croma,54
TCL P8L 75 inch Ultra HD 4K Smart QLED TV (75P8L),"₹92,990",4.4,"75 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputMediaTek Pentonic 700(MT9653) Processor, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",croma,77
TCL Q6C 55 inch Ultra HD 4K Smart Mini LED TV (55Q6C),"₹52,990",4.45,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputQuad Core Processor, 3 GB RAM, 32 GB StorageHDR, Dolby Vision, High Frame Rate (HFR)4 HDMI Ports, 1 USB Ports",amazon,68
TCL T8C 55 inch Ultra HD 4K Smart QLED TV (55T8C),"₹42,990",4.7,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputQuad Core Processor, 3 GB RAM, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",amazon,64
Xiaomi FX Pro Series 43 inch Ultra HD 4K Smart QLED TV (L43MB-FPIN),"₹26,999",4.1,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV30 W OutputQuad Core A55 Processor, 2 GB RAM, 32 GB StorageHDR3 HDMI Ports, 2 USB Ports",amazon,54
Xiaomi A Pro 2025 32 inch HD Ready Smart QLED TV (L32MB-APIN),"₹14,999",4.55,"32 in, QLED TV1366 x 768 pixelsWifiSmart TV2 Speakers, 20 W OutputA53 Quad Core Processor, 1 GB RAM, 8 GB Storage2 HDMI Ports, 2 USB PortsDolby Audio",flipkart,40
Acer V Pro 50 inch Ultra HD 4K Smart QLED TV (AR50QDQGR2851AD),"₹24,999",4.25,"50 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 36 W OutputHDR, Dolby Vision3 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,57
TCL S5K 32 inch Full HD Smart QLED TV (32S5K),"₹15,990",4.75,"32 in, QLED TVFull HD, 1920 x 1080 pixelsWifi, EthernetSmart TV2 Speakers, 16 W Output1.1 GHz CA55x4 Processor, 8 GB StorageHDR3 HDMI Ports, 2 USB Ports",croma,41
LG AI NANO NU87 75 inch Ultra HD 4K Smart LED TV (75NU870BPLA),"₹99,999",4.75,"75 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output1.5 GB RAM, 8 GB StorageHDR3 HDMI Ports, 1 USB Ports",flipkart,65
Blaupunkt 32QC7020 32 inch HD Ready Smart QLED TV,"₹11,499",4.75,"32 in, QLED TV1366 x 768 pixelsWifiSmart TV48 W Output1 GB RAM, 8 GB Storage3 HDMI Ports, 2 USB PortsDolby Audio",flipkart,37
Blaupunkt 40QC7080 40 inch Full HD Smart QLED TV,"₹15,999",4.65,"40 in, QLED TVFull HD, 1920 x 1080 pixelsWifiSmart TV48 W Output1 GB RAM, 8 GB Storage3 HDMI Ports, 2 USB PortsDolby Audio",flipkart,40
LG evo AI QNED65 55 inch Ultra HD 4K Smart Mini LED TV (55QNED65BLA),"₹58,499",4.15,"55 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR3 HDMI Ports, 1 USB PortsDolby Atmos",flipkart,59
Sony Bravia 3 II 65 inch Ultra HD 4K Smart LED TV (K-65XR35M2),"₹1,24,490",4.6,"65 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision4 HDMI Ports, 2 USB PortsDolby Audio, Dolby Atmos",croma,72
VW Frameless Series 40 inch HD Ready QLED TV (VW40S1),"₹10,999",4.5,"40 in, QLED TV1366 x 768 pixelsEthernetSmart TV: No2 Speakers, 24 W Output2 HDMI Ports, 2 USB Ports60 Hz, 16:9 Ratio",amazon,26
Sony Bravia 7 II 55 inch Ultra HD 4K Smart RGB LED TV (K-55XR70M2),"₹2,10,890",4.35,"55 in, LCD TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV4 Speakers, 40 W Output32 GB StorageHDR, Dolby Vision, High Frame Rate (HFR)4 HDMI Ports, 2 USB Ports",amazon,76
VW VW32MAX 32 inch HD Ready QLED TV,"₹7,999",4.45,"32 in, QLED TV1366 x 768 pixelsEthernetSmart TV: No2 Speakers, 24 W Output2 HDMI Ports, 2 USB Ports178 ° Viewing Angle60 Hz, 16:9 Ratio",amazon,26
TCL P6L 75 inch Ultra HD 4K Smart LED TV (75P6L),"₹72,990",4.05,"75 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W Output8 GB StorageHDR, Dolby Vision3 HDMI Ports",flipkart,62
TCL P8L 98 inch Ultra HD 4K Smart QLED TV (98P8L),"₹2,49,999",4.5,"98 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputMediaTek Pentonic 700(MT9653) Processor, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",flipkart,84
Hisense E8S 75 inch Ultra HD 4K Smart Mini LED TV (75E8S),"₹99,990",4.15,"75 in, Mini LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, Dolby Vision4 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,77
TCL T8D 75 inch Ultra HD 4K Smart QLED TV (75T8D),"₹86,990",4.45,"75 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV35 W Output3 GB RAM, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",amazon,78
TCL P8L 85 inch Ultra HD 4K Smart QLED TV (85P8L),"₹1,49,999",4.35,"85 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputMediaTek Pentonic 700(MT9653) Processor, 32 GB StorageHDR, Dolby Vision4 HDMI Ports, 1 USB Ports",flipkart,81
Samsung R95H 85 inch Ultra HD 4K Smart Micro RGB TV (MRA85MR95HXUXXL),"₹6,59,990",4.35,"85 in, Micro RGB TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV70 W OutputHDR, High Frame Rate (HFR)4 HDMI Ports, 2 USB PortsDolby Atmos",flipkart,91
VW Pure View Series 24 inch HD Ready Smart LED TV (VW24A),"₹5,499",4.65,"24 in, LED TV1366 x 768 pixelsWifi, EthernetSmart TV2 Speakers, 20 W Output3 HDMI Ports, 2 USB PortsSupports Apps & GamesScreen Mirroring",flipkart,30
Samsung Vision AI S85F 55 inch Ultra HD 4K Smart OLED TV (QA55S85FAELXL),"₹82,999",4.2,"55 in, OLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, High Frame Rate (HFR)4 HDMI Ports, 2 USB PortsDolby Atmos",amazon,72
Acerpure Nitro 65 inch Ultra HD 4K Smart QLED TV (AP65UG75PNTO5),"₹39,999",4.2,"65 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV50 W Output2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,65
Samsung Vision AI QEF6 55 inch Ultra HD 4K Smart QLED TV (QA55QEF6AULXL),"₹43,990",4.75,"55 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 20 W OutputHDR, High Frame Rate (HFR)3 HDMI Ports, 1 USB PortsSupports Apps & Games",flipkart,55
Xiaomi X Series 2025 50 inch Ultra HD 4K Smart LED TV (L50MB-AIN),"₹27,999",4.1,"50 in, LED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV2 Speakers, 30 W OutputQuad Core A55 Processor, 2 GB RAM, 8 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",flipkart,53
Philips Lumina Series 43 inch Ultra HD 4K Smart QLED TV (43PQT8100/94),"₹26,999",4.1,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV30 W Output2 GB RAM, 32 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",amazon,59
Vu Vibe DV Series 43 inch Ultra HD 4K Smart QLED TV (43VIBE-DV),"₹26,490",4.4,"43 in, QLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV88 W Output2 GB RAM, 16 GB StorageHDR, Dolby Vision3 HDMI Ports, 2 USB Ports",amazon,60
LG evo AI C5 55 inch Ultra HD 4K Smart OLED TV (OLED55C5XLA),"₹1,05,888",4.75,"55 in, OLED TV4K Resolution, 3840 x 2160 pixelsWifi, EthernetSmart TV40 W OutputHDR, Dolby Vision, High Frame Rate (HFR)4 HDMI Ports, 3 USB PortsDolby Atmos",flipkart,80
