,index,brand,ultra_hd,full_hd,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category,Price
57,58,44.0,1,0,4.35,55.0,1.0,1,32.0,0.0015676418986201,4.0,1.0,0.0,0.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,12.259096691303094
58,59,51.0,0,0,4.45,32.0,6.0,0,16.0,0.0144643080385048,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.121509158269568
59,60,45.0,1,0,4.05,75.0,2.0,1,25.6,0.0034401972872996,4.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,11.198091424858744
60,61,45.0,1,0,4.5,77.0,6.0,1,32.0,0.0015422524797397,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,12.345797413264954
61,62,17.0,1,0,4.15,75.0,4.0,1,38.4,0.0031958195819581,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.512835460919986
62,63,45.0,1,0,4.45,75.0,6.0,1,32.0,0.0039901138061846,3.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,11.373559944009717
63,64,45.0,1,0,4.35,77.0,6.0,1,32.0,0.0023490156601044,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,0.0,2.0,0.0,11.918390573078392
64,65,41.0,1,0,4.35,77.0,3.0,1,38.4,0.0015422524797397,4.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,0.0,0.0,0.0,12.345797413264954
65,66,51.0,0,0,4.65,32.0,2.0,1,16.0,0.0149555146951455,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.121509158269568
66,67,41.0,1,0,4.2,55.0,5.0,1,32.0,0.0036434173905709,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.326595886778737
67,68,1.0,1,0,4.2,65.0,6.0,1,16.0,0.0068251706292657,4.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,10.596634733096073
68,69,41.0,1,0,4.75,55.0,6.0,1,19.2,0.0059388497385769,3.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,10.69174034652358
69,70,56.0,1,0,4.1,50.0,2.0,1,19.2,0.0077609914639808,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,10.23995978915734
70,71,36.0,1,0,4.1,43.0,6.0,1,32.0,0.0089595910959665,4.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,10.203592144986466
71,72,50.0,1,0,4.4,43.0,6.0,1,16.0,0.0099660249150622,4.0,1.0,0.0,0.0,4.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,10.184560331647974
72,73,26.0,1,0,4.75,55.0,5.0,1,44.8,0.0035886974916893,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,11.570146654617512
73,74,17.0,1,0,4.6,55.0,6.0,1,28.8,0.0084116689048258,4.0,0.0,0.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,10.46310334047155
74,75,45.0,1,0,4.35,55.0,4.0,1,19.2,0.0052209492635024,3.4,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,10.91492481446108
75,76,45.0,1,0,4.45,43.0,6.0,1,16.0,0.008065877058658,3.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,0.0,10.373491181781864
76,77,45.0,1,0,4.2,65.0,4.0,1,32.0,0.004320617231033,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,0.0,11.15612194133691
77,78,37.0,1,0,4.5,55.0,6.0,1,32.0,0.009692680487711,4.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,10.16585181700362
78,79,45.0,1,0,4.15,43.0,6.0,1,16.0,0.0073652791222975,4.0,0.0,0.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,10.341452118734878
79,80,56.0,1,0,4.2,55.0,6.0,1,32.0,0.0063015003572279,4.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,10.645210588588755
80,81,45.0,0,1,4.15,32.0,6.0,1,19.2,0.0107165913492575,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,9.648014489106362
81,82,26.0,0,0,4.65,32.0,2.0,1,16.0,0.0117120490129339,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,9.594990340370426
82,83,15.0,1,0,4.15,43.0,6.0,1,19.2,0.0139331380812915,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,9.546812608597396
83,84,56.0,0,0,4.7,32.0,2.0,1,16.0,0.0149555146951455,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,9.305650551780507
84,85,45.0,1,0,4.35,55.0,6.0,1,16.0,0.0054386330485517,4.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.778768772309704
85,86,45.0,1,0,4.3,65.0,6.0,1,16.0,0.004168333589783,4.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,11.082004077752629
86,87,41.0,1,0,4.25,65.0,3.0,1,35.2,0.0020077918890729,4.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,0.0,12.001450263540583
87,88,8.0,0,1,4.7,43.0,6.0,1,19.2,0.0102062975027144,4.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,9.769956159911606
88,89,44.0,1,0,4.6,55.0,2.0,1,19.2,0.0032929782082324,4.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,11.461537429252754
89,90,31.0,1,0,4.5,50.0,6.0,1,32.0,0.0082744604664666,4.0,0.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,0.0,10.341742483467284
90,91,31.0,1,0,4.15,75.0,4.0,1,44.8,0.0043358856102329,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,11.112447898373103
91,92,41.0,1,0,4.3,65.0,4.0,1,22.4,0.0036012950161877,3.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,0.0,11.289781913656018
92,93,41.0,1,0,4.6,55.0,4.0,1,22.4,0.0042948083180082,3.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,11.1660735453374
93,94,26.0,1,0,4.0,65.0,5.0,1,44.8,0.0015422524797397,4.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,12.345797413264954
94,95,41.0,1,0,4.35,32.0,2.0,1,22.4,0.0073213718640838,3.0,1.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,10.357457069703909
95,96,51.0,0,1,4.2,40.0,6.0,1,19.2,0.0124453663234313,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,9.51044496442652
96,97,26.0,1,0,4.4,55.0,2.0,1,25.6,0.0050161003220064,3.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,10.819778284410283
